key,passportCountry,destinationCountry,continent,capital,currency,phoneCode,timezone,visaType,stayDuration,passportValidity,additionalInfo,officialLink
visa-requirement-18,Lorem ipsum dolor sit ame,洛伦·伊普森,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-19,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-20,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-21,Lorem ipsum dolor sit ame,' or 'A' = 'A,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#destionationCountry - no singular values
#continent - standard variations
visa-requirement-22,P1,P2,L,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-23,P2,P3,Lo,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-24,P3,P4,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-25,P4,P5,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-26,P5,P6,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-27,P6,P7,لوريم إيبسوم,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-28,P7,P8,洛伦·伊普森,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-29,P8,P9,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-30,P9,P10,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-31,P10,P11,' or 'A' = 'A,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#continent - no singular values
#capital - standard variations
visa-requirement-32,P11,P12,Lorem ipsum dolor sit ame,L,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-33,P12,P13,Lorem ipsum dolor sit ame,Lo,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-34,P13,P14,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-35,P14,P15,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-36,P15,P16,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-37,P16,P17,Lorem ipsum dolor sit ame,لوريم إيبسوم,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-38,P17,P18,Lorem ipsum dolor sit ame,洛伦·伊普森,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-39,P18,P19,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-40,P19,P20,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-41,P20,P21,Lorem ipsum dolor sit ame,' or 'A' = 'A,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#capital - no singular values
#currency - standard variations
visa-requirement-42,P21,P22,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,L,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-43,P22,P23,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lo,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-44,P23,P24,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-45,P24,P25,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-46,P25,P26,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-47,P26,P27,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,لوريم إيبسوم,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-48,P27,P28,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,洛伦·伊普森,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-49,P28,P29,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-50,P29,P30,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-51,P30,P31,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,' or 'A' = 'A,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#capital - no singular values
#visaType - standart variations,""
visa-requirement-52,P31,P32,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,L,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-53,P32,P33,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lo,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-54,P33,P34,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-55,P34,P35,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-56,P35,P36,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-57,P36,P37,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,لوريم إيبسوم,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-58,P37,P38,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,洛伦·伊普森,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-59,P38,P39,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-60,P39,P40,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-61,P40,P41,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,' or 'A' = 'A,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#visaType - no singular values
#stayDuration - standart variations
visa-requirement-62,P41,P42,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,L,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-63,P42,P43,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lo,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-64,P43,P44,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-65,P44,P45,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-66,P45,P46,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
